id	eventID	parentEventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	eventDate	eventTime	locationID	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision
BFSA:LTBCC:20041107:J2	BFSA:LTBCC:20041107:J2	BFSA:LTBCC:20041107	Line Transect	150	metre	60 observer-minutes	2004/11/7	08:50+0800	J2	23.0856	120.0366	WGS84	75	0.00001
BFSA:LTBCC:20041107:J3	BFSA:LTBCC:20041107:J3	BFSA:LTBCC:20041107	Line Transect	450	metre	120 observer-minutes	2004/11/7	09:20+0800	J3	23.077	120.037	WGS84	200	0.00001
BFSA:LTBCC:20041107:E1	BFSA:LTBCC:20041107:E1	BFSA:LTBCC:20041107	Total Count	12	hectare	270 observer-minutes	2004/11/7	10:30+0800	E1	23.0755	120.067	WGS84	350	0.00001
BFSA:LTBCC:20041107:D1	BFSA:LTBCC:20041107:D1	BFSA:LTBCC:20041107	Total Count	20	hectare	80 observer-minutes	2004/11/7	13:00+0800	D1	23.1709	120.1148	WGS84	330	0.00001
BFSA:LTBCC:20041107:D2	BFSA:LTBCC:20041107:D2	BFSA:LTBCC:20041107	Total Count	20	hectare	80 observer-minutes	2004/11/7	13:50+0800	D2	23.1706	120.1108	WGS84	340	0.00001
BFSA:LTBCC:20041120:M1	BFSA:LTBCC:20041120:M1	BFSA:LTBCC:20041120	Total Count	98	hectare	180 observer-minutes	2004/11/20	15:00+0800	M1	23.0754	120.0487	WGS84	800	0.00001
BFSA:LTBCC:20041120:M2	BFSA:LTBCC:20041120:M2	BFSA:LTBCC:20041120	Total Count	83	hectare	60 observer-minutes	2004/11/20	16:10+0800	M2	23.068	120.0513	WGS84	750	0.00001
BFSA:LTBCC:20041120:D1	BFSA:LTBCC:20041120:D1	BFSA:LTBCC:20041120	Total Count	20	hectare	90 observer-minutes	2004/11/20	13:30+0800	D1	23.1709	120.1148	WGS84	330	0.00001
BFSA:LTBCC:20041120:D2	BFSA:LTBCC:20041120:D2	BFSA:LTBCC:20041120	Total Count	20	hectare	90 observer-minutes	2004/11/20	14:00+0800	D2	23.1706	120.1108	WGS84	340	0.00001
BFSA:LTBCC:20041121:J2	BFSA:LTBCC:20041121:J2	BFSA:LTBCC:20041121	Line Transect	150	metre	160 observer-minutes	2004/11/21	08:30+0800	J2	23.0856	120.0366	WGS84	75	0.00001
BFSA:LTBCC:20041121:J3	BFSA:LTBCC:20041121:J3	BFSA:LTBCC:20041121	Line Transect	450	metre	160 observer-minutes	2004/11/21	09:20+0800	J3	23.077	120.037	WGS84	200	0.00001
BFSA:LTBCC:20041121:E1	BFSA:LTBCC:20041121:E1	BFSA:LTBCC:20041121	Total Count	12	hectare	360 observer-minutes	2004/11/21	10:30+0800	E1	23.0755	120.067	WGS84	350	0.00001
BFSA:LTBCC:20041211:J2	BFSA:LTBCC:20041211:J2	BFSA:LTBCC:20041211	Line Transect	150	metre	30 observer-minutes	2004/12/11	08:30+0800	J2	23.0856	120.0366	WGS84	75	0.00001
BFSA:LTBCC:20041211:J3	BFSA:LTBCC:20041211:J3	BFSA:LTBCC:20041211	Line Transect	450	metre	100 observer-minutes	2004/12/11	09:10+0800	J3	23.077	120.037	WGS84	200	0.00001
BFSA:LTBCC:20041211:E1	BFSA:LTBCC:20041211:E1	BFSA:LTBCC:20041211	Total Count	12	hectare	380 observer-minutes	2004/12/11	10:25+0800	E1	23.0755	120.067	WGS84	350	0.00001
BFSA:LTBCC:20041212:M1	BFSA:LTBCC:20041212:M1	BFSA:LTBCC:20041212	Total Count	98	hectare	85 observer-minutes	2004/12/12	15:00+0800	M1	23.0754	120.0487	WGS84	800	0.00001
