trendEventID,occurrenceID,eventID
2011_D2,BFSA:LTBCC:20110625:0057,BFSA:LTBCC:20110625:D2
2011_L0,BFSA:LTBCC:20110709:0001,BFSA:LTBCC:20110709:L0
2011_L0,BFSA:LTBCC:20110709:0002,BFSA:LTBCC:20110709:L0
2011_L0,BFSA:LTBCC:20110709:0003,BFSA:LTBCC:20110709:L0
2011_L0,BFSA:LTBCC:20110709:0004,BFSA:LTBCC:20110709:L0
2011_L0,BFSA:LTBCC:20110709:0005,BFSA:LTBCC:20110709:L0
2011_L0,BFSA:LTBCC:20110709:0006,BFSA:LTBCC:20110709:L0
2011_L0,BFSA:LTBCC:20110709:0007,BFSA:LTBCC:20110709:L0
2011_L0,BFSA:LTBCC:20110709:0008,BFSA:LTBCC:20110709:L0
2011_M1,BFSA:LTBCC:20110709:0009,BFSA:LTBCC:20110709:M1
2011_M1,BFSA:LTBCC:20110709:0010,BFSA:LTBCC:20110709:M1
2011_M1,BFSA:LTBCC:20110709:0011,BFSA:LTBCC:20110709:M1
2011_M1,BFSA:LTBCC:20110709:0012,BFSA:LTBCC:20110709:M1
2011_M1,BFSA:LTBCC:20110709:0013,BFSA:LTBCC:20110709:M1
2011_M1,BFSA:LTBCC:20110709:0014,BFSA:LTBCC:20110709:M1
2011_M1,BFSA:LTBCC:20110709:0015,BFSA:LTBCC:20110709:M1
2011_M1,BFSA:LTBCC:20110709:0016,BFSA:LTBCC:20110709:M1
2011_M1,BFSA:LTBCC:20110709:0017,BFSA:LTBCC:20110709:M1
2011_M1,BFSA:LTBCC:20110709:0018,BFSA:LTBCC:20110709:M1
2011_M1,BFSA:LTBCC:20110709:0019,BFSA:LTBCC:20110709:M1
2011_M2,BFSA:LTBCC:20110709:0020,BFSA:LTBCC:20110709:M2
2011_M2,BFSA:LTBCC:20110709:0021,BFSA:LTBCC:20110709:M2
2011_M2,BFSA:LTBCC:20110709:0022,BFSA:LTBCC:20110709:M2
2011_M2,BFSA:LTBCC:20110709:0023,BFSA:LTBCC:20110709:M2
2011_M2,BFSA:LTBCC:20110709:0024,BFSA:LTBCC:20110709:M2
2011_J2,BFSA:LTBCC:20110709:0025,BFSA:LTBCC:20110709:J2
2011_J2,BFSA:LTBCC:20110709:0026,BFSA:LTBCC:20110709:J2
2011_J2,BFSA:LTBCC:20110709:0027,BFSA:LTBCC:20110709:J2
2011_J2,BFSA:LTBCC:20110709:0028,BFSA:LTBCC:20110709:J2
2011_J2,BFSA:LTBCC:20110709:0029,BFSA:LTBCC:20110709:J2
2011_J2,BFSA:LTBCC:20110709:0030,BFSA:LTBCC:20110709:J2
2011_J2,BFSA:LTBCC:20110709:0031,BFSA:LTBCC:20110709:J2
2011_J2,BFSA:LTBCC:20110709:0032,BFSA:LTBCC:20110709:J2
2011_J3,BFSA:LTBCC:20110709:0033,BFSA:LTBCC:20110709:J3
2011_J3,BFSA:LTBCC:20110709:0034,BFSA:LTBCC:20110709:J3
2011_J3,BFSA:LTBCC:20110709:0035,BFSA:LTBCC:20110709:J3
2011_E1,BFSA:LTBCC:20110709:0036,BFSA:LTBCC:20110709:E1
2011_E1,BFSA:LTBCC:20110709:0037,BFSA:LTBCC:20110709:E1
2011_E1,BFSA:LTBCC:20110709:0038,BFSA:LTBCC:20110709:E1
2011_E1,BFSA:LTBCC:20110709:0039,BFSA:LTBCC:20110709:E1
2011_E1,BFSA:LTBCC:20110709:0040,BFSA:LTBCC:20110709:E1
2011_E1,BFSA:LTBCC:20110709:0041,BFSA:LTBCC:20110709:E1
2011_E1,BFSA:LTBCC:20110709:0042,BFSA:LTBCC:20110709:E1
2011_E1,BFSA:LTBCC:20110709:0043,BFSA:LTBCC:20110709:E1
2011_E1,BFSA:LTBCC:20110709:0044,BFSA:LTBCC:20110709:E1
2011_E1,BFSA:LTBCC:20110709:0045,BFSA:LTBCC:20110709:E1
2011_E2,BFSA:LTBCC:20110709:0046,BFSA:LTBCC:20110709:E2
2011_E2,BFSA:LTBCC:20110709:0047,BFSA:LTBCC:20110709:E2
2011_E2,BFSA:LTBCC:20110709:0048,BFSA:LTBCC:20110709:E2
2011_E2,BFSA:LTBCC:20110709:0049,BFSA:LTBCC:20110709:E2
2011_E2,BFSA:LTBCC:20110709:0050,BFSA:LTBCC:20110709:E2
2011_E2,BFSA:LTBCC:20110709:0051,BFSA:LTBCC:20110709:E2
2011_E2,BFSA:LTBCC:20110709:0052,BFSA:LTBCC:20110709:E2
2011_E2,BFSA:LTBCC:20110709:0053,BFSA:LTBCC:20110709:E2
2011_D1,BFSA:LTBCC:20110709:0054,BFSA:LTBCC:20110709:D1
2011_D1,BFSA:LTBCC:20110709:0055,BFSA:LTBCC:20110709:D1
2011_D1,BFSA:LTBCC:20110709:0056,BFSA:LTBCC:20110709:D1
2011_D1,BFSA:LTBCC:20110709:0057,BFSA:LTBCC:20110709:D1
2011_D1,BFSA:LTBCC:20110709:0058,BFSA:LTBCC:20110709:D1
2011_D1,BFSA:LTBCC:20110709:0059,BFSA:LTBCC:20110709:D1
2011_D1,BFSA:LTBCC:20110709:0060,BFSA:LTBCC:20110709:D1
2011_D1,BFSA:LTBCC:20110709:0061,BFSA:LTBCC:20110709:D1
2011_D1,BFSA:LTBCC:20110709:0062,BFSA:LTBCC:20110709:D1
2011_D2,BFSA:LTBCC:20110709:0063,BFSA:LTBCC:20110709:D2
2011_D2,BFSA:LTBCC:20110709:0064,BFSA:LTBCC:20110709:D2
2011_D2,BFSA:LTBCC:20110709:0065,BFSA:LTBCC:20110709:D2
2011_D2,BFSA:LTBCC:20110709:0066,BFSA:LTBCC:20110709:D2
2011_D2,BFSA:LTBCC:20110709:0067,BFSA:LTBCC:20110709:D2
2011_D2,BFSA:LTBCC:20110709:0068,BFSA:LTBCC:20110709:D2
2011_L0,BFSA:LTBCC:20110723:0001,BFSA:LTBCC:20110723:L0
2011_L0,BFSA:LTBCC:20110723:0002,BFSA:LTBCC:20110723:L0
2011_L0,BFSA:LTBCC:20110723:0003,BFSA:LTBCC:20110723:L0
2011_L0,BFSA:LTBCC:20110723:0004,BFSA:LTBCC:20110723:L0
2011_L0,BFSA:LTBCC:20110723:0005,BFSA:LTBCC:20110723:L0
2011_L0,BFSA:LTBCC:20110723:0006,BFSA:LTBCC:20110723:L0
2011_L0,BFSA:LTBCC:20110723:0007,BFSA:LTBCC:20110723:L0
2011_L0,BFSA:LTBCC:20110723:0008,BFSA:LTBCC:20110723:L0
2011_L0,BFSA:LTBCC:20110723:0009,BFSA:LTBCC:20110723:L0
2011_M1,BFSA:LTBCC:20110723:0010,BFSA:LTBCC:20110723:M1
2011_M1,BFSA:LTBCC:20110723:0011,BFSA:LTBCC:20110723:M1
2011_M1,BFSA:LTBCC:20110723:0012,BFSA:LTBCC:20110723:M1
2011_M1,BFSA:LTBCC:20110723:0013,BFSA:LTBCC:20110723:M1
2011_M1,BFSA:LTBCC:20110723:0014,BFSA:LTBCC:20110723:M1
2011_M1,BFSA:LTBCC:20110723:0015,BFSA:LTBCC:20110723:M1
2011_M2,BFSA:LTBCC:20110723:0016,BFSA:LTBCC:20110723:M2
2011_M2,BFSA:LTBCC:20110723:0017,BFSA:LTBCC:20110723:M2
2011_M2,BFSA:LTBCC:20110723:0018,BFSA:LTBCC:20110723:M2
2011_M2,BFSA:LTBCC:20110723:0019,BFSA:LTBCC:20110723:M2
2011_M2,BFSA:LTBCC:20110723:0020,BFSA:LTBCC:20110723:M2
2011_M2,BFSA:LTBCC:20110723:0021,BFSA:LTBCC:20110723:M2
2011_M2,BFSA:LTBCC:20110723:0022,BFSA:LTBCC:20110723:M2
2011_J2,BFSA:LTBCC:20110723:0023,BFSA:LTBCC:20110723:J2
2011_J2,BFSA:LTBCC:20110723:0024,BFSA:LTBCC:20110723:J2
2011_J2,BFSA:LTBCC:20110723:0025,BFSA:LTBCC:20110723:J2
2011_J2,BFSA:LTBCC:20110723:0026,BFSA:LTBCC:20110723:J2
2011_J2,BFSA:LTBCC:20110723:0027,BFSA:LTBCC:20110723:J2
2011_J2,BFSA:LTBCC:20110723:0028,BFSA:LTBCC:20110723:J2
2011_J2,BFSA:LTBCC:20110723:0029,BFSA:LTBCC:20110723:J2
2011_J2,BFSA:LTBCC:20110723:0030,BFSA:LTBCC:20110723:J2
2011_J3,BFSA:LTBCC:20110723:0031,BFSA:LTBCC:20110723:J3
2011_J3,BFSA:LTBCC:20110723:0032,BFSA:LTBCC:20110723:J3
2011_J3,BFSA:LTBCC:20110723:0033,BFSA:LTBCC:20110723:J3
2011_J3,BFSA:LTBCC:20110723:0034,BFSA:LTBCC:20110723:J3
2011_J3,BFSA:LTBCC:20110723:0035,BFSA:LTBCC:20110723:J3
2011_J3,BFSA:LTBCC:20110723:0036,BFSA:LTBCC:20110723:J3
2011_J3,BFSA:LTBCC:20110723:0037,BFSA:LTBCC:20110723:J3
2011_J3,BFSA:LTBCC:20110723:0038,BFSA:LTBCC:20110723:J3
2011_E1,BFSA:LTBCC:20110723:0039,BFSA:LTBCC:20110723:E1
2011_E1,BFSA:LTBCC:20110723:0040,BFSA:LTBCC:20110723:E1
